ExperimentID,Tray Location,Pot Location,Ecotype ID,Ecotype Name,Plant ID,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1A1,7397,Ws,35501,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1A2,8388,Stw-0,35502,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1A3,7032,Bsch-2,35503,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1A4,7025,Bl-1,35504,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1A5,8264,Bla-1,35505,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1B1,2274,SLSP-30,35506,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1B2,7352,Te-0,35507,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1B3,8404,Wei-0,35508,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1B4,378,TOU-I-17,35509,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1B5,5753,UKID48,35510,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1C1,8796,11PNA4.101,35511,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1C2,6194,TDr-8,35512,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1C3,8407,Wt-5,35513,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1C4,7255,Mh-0,35514,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1C5,8396,Ull2-3,35515,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1D1,7328,Sf-2,35516,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1D2,8281,cvi,35517,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1D3,8324,Ler-1,35518,,,,,,,,,,,,,,,,,,,
BVZ0072,1,1D4,8279,Col-0,35519,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2A1,7106,Dr-0,35520,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2A2,7199,Kl-5,35521,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2A3,7353,Tha-1,35522,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2A4,8304,Hi-0,35523,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2A5,6744,CSHL-5,35524,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2B1,6318,UduI 1-34,35525,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2B2,8409,Zdr-1,35526,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2B3,66,CAM-61,35527,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2B4,7169,Hh-0,35528,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2B5,8398,Uod-1,35529,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2C1,7392,Wag-5,35530,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2C2,8280,Ct-1,35531,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2C3,386,TOU-K-3,35532,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2C4,7297,Pf-0,35533,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2C5,7192,Kil-0,35534,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2D1,7328,Sf-2,35535,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2D2,8281,cvi,35536,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2D3,8324,Ler-1,35537,,,,,,,,,,,,,,,,,,,
BVZ0072,2,2D4,8279,Col-0,35538,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3A1,7333,Sei-0,35539,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3A2,8291,Est-1,35540,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3A3,8295,Ga-0,35541,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3A4,8248,Shahdara,35542,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3A5,7404,Wc-1,35543,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3B1,9057,Vinslov,35544,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3B2,7408,Wt-3,35545,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3B3,7062,Ca-0,35546,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3B4,6243,Tottarp-2,35547,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3B5,7098,Di-1,35548,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3C1,7292,Pa-3,35549,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3C2,7206,Kro-0,35550,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3C3,8368,Ren-11,35551,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3C4,8392,Ts-1,35552,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3C5,8309,HR-5,35553,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3D1,7328,Sf-2,35554,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3D2,8281,cvi,35555,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3D3,8324,Ler-1,35556,,,,,,,,,,,,,,,,,,,
BVZ0072,3,3D4,8279,Col-0,35557,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4A1,,npq1,35558,,,,,,,,,,,,,,,,,,,
BVZ0072,4,4A2,6987,Ak-1,35559,,,,,,,,,,,,,,,,,,,
