1,239,82,192,94,212,174,259,163
2,258,27,228,162,292,176,322,41
3,353,61,292,169,357,206,418,98
4,138,11,82,45,191,222,247,187
6,31,158,29,225,214,231,217,165
7,194,168,4,256,39,330,228,243
8,176,236,119,271,144,311,201,276
9,227,281,157,291,177,435,247,425
10,233,245,208,301,230,310,255,255
11,287,238,257,289,361,350,390,299
12,280,234,212,247,241,396,309,382
13,260,202,260,275,457,275,457,202
15,267,157,253,215,327,233,341,175
16,194,212,166,283,213,302,241,231
17,227,161,220,206,254,212,261,167
18,248,203,222,225,261,269,286,247
19,216,203,216,225,239,225,239,203
21,134,137,113,189,210,228,230,176
